Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,UIN,Product Name,Date of Approval,Documents,Type Of Product,document_link
39,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLGP21283V022021,Group Mediclaim Policy (2007),18-09-2020,NIAHLGP21283V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLGP21283V022021_2020-2021.pdf/58f866f0-4619-7d9f-6470-4eeb7e7a387f?version=1.1&t=1668594365106&download=true
39,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLGP21285V022021,Group Mediclaim Policy  for workers,18-09-2020,NIAHLGP21285V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLGP21285V022021_2020-2021.pdf/f35f31ef-e059-eb19-9f4b-cd3ff1eb6e87?version=1.1&t=1668594467882&download=true
39,Non-Archived,2020-2021,HDFC ERGO Health Insurance Limited,HDHHLIP21346V042021,Individual Personal Accident,21-09-2020,HDHHLIP21346V042021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/HDHHLIP21346V042021_2020-2021.pdf/69f58902-c6fe-d91c-0f92-deb81a685ab3?version=1.1&t=1668583327856&download=true
40,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLIP21313V022021,Teritiary Care Insurance-Individual,21-09-2020,NIAHLIP21313V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLIP21313V022021_2020-2021.pdf/5d5ea0bf-a135-eec3-6585-0445abdf5e9a?version=1.1&t=1668595014806&download=true
40,Non-Archived,2020-2021,The Oriental Insurance Co. Ltd.,OICHLIP446V032021,Mediclaim Insurance Policy (Individual),25-09-2020,OICHLIP446V032021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/OICHLIP446V032021_2020-2021.pdf/1ac1b9f5-a128-ed90-2bb3-5dbab9cefd59?version=1.1&t=1668589889069&download=true
40,Non-Archived,2020-2021,The Oriental Insurance Co. Ltd.,OICHLGP452V022021,PNB - Oriental Royal Mediclaim - 2017,25-09-2020,OICHLGP452V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/OICHLGP452V022021_2020-2021.pdf/686135c0-7009-b0cd-8c34-cba38ee1ab2c?version=1.1&t=1668589783526&download=true
40,Non-Archived,2020-2021,The Oriental Insurance Co. Ltd.,OICHLGP451V022021,OBC – Oriental Mediclaim Policy – 2017,25-09-2020,OICHLGP451V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/OICHLGP451V022021_2020-2021.pdf/92ea8521-ceac-1380-b802-227d2712e314?version=1.1&t=1668589735310&download=true
40,Non-Archived,2020-2021,The Oriental Insurance Co. Ltd.,OICHLGP449V022021,Mediclaim Insurance Policy (Group),25-09-2020,OICHLGP449V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/OICHLGP449V022021_2020-2021.pdf/4b90a9d4-e975-c491-8bab-6a32549b27e7?version=1.1&t=1668589686240&download=true
40,Non-Archived,2020-2021,The Oriental Insurance Co. Ltd.,OICTIOP21581V022021,Overseas Mediclaim Policy - Business and Holiday,23-11-2020,OICTIOP21581V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/OICTIOP21581V022021_2020-2021.pdf/fb4d77be-e5a4-bfee-148a-0818c33e8578?version=1.1&t=1668589645794&download=true
40,Non-Archived,2020-2021,The Oriental Insurance Co. Ltd.,OICHLIP21554V012021,Oriental Dengue Kavach,28-12-2020,OICHLIP21554V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/OICHLIP21554V012021_2020-2021.pdf/11b70e5d-83c3-c0fb-36ae-7b643e883028?version=1.1&t=1668589608834&download=true
40,Non-Archived,2020-2021,The Oriental Insurance Co. Ltd.,OICHLGP21231V012021,Group Corona Kavach Policy- Oriental Insurance,09-10-2020,OICHLGP21231V012021_2020-2021.pdf,Group,https://irdai.gov.in/documents/37343/931203/OICHLGP21231V012021_2020-2021.pdf/647aaf11-34d4-6800-55ec-f3ca76f4022a?version=1.1&t=1668589569016&download=true
40,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLIP21279V032021,New India Premier Mediclaim Policy,18-09-2020,NIAHLIP21279V032021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLIP21279V032021_2020-2021.pdf/add6f0c6-5e09-f925-10ca-8ace0c2d8c2e?version=1.1&t=1668594975860&download=true
40,Non-Archived,2020-2021,The Oriental Insurance Co. Ltd.,OICHLIP445V032021,Happy Family Floater Policy – 2015,25-09-2020,OICHLIP445V032021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/OICHLIP445V032021_2020-2021.pdf/66e8156e-9055-31a7-9f95-c7339d0682c1?version=1.1&t=1668589835820&download=true
40,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLIP21278V042021,New India Floater Mediclaim Policy,18-09-2020,NIAHLIP21278V042021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLIP21278V042021_2020-2021.pdf/569ffe4d-527d-3201-38a3-03f74f7cfc74?version=1.1&t=1668594935924&download=true
40,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLIP21276V022021,New India Top-Up Mediclaim Policy,18-09-2020,NIAHLIP21276V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLIP21276V022021_2020-2021.pdf/41cbce4f-1536-e393-1edb-86a07334510a?version=1.1&t=1668594857510&download=true
40,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLIP21275V022021,Family Floater Mediclaim Policy,18-09-2020,NIAHLIP21275V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLIP21275V022021_2020-2021.pdf/abfe68d4-f118-1c6d-9b17-e1c2bbf0577f?version=1.1&t=1668594822501&download=true
40,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLIP21274V022021,Janata Mediclaim Policy,18-09-2020,NIAHLIP21274V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLIP21274V022021_2020-2021.pdf/6fb023c0-3f29-6727-bfbc-7316710e1365?version=1.1&t=1668594776254&download=true
