Page Number,Archive / Non Archive,S.no,Financial Year,Name of the Insurer,Product Name,Type Of Product,UIN,Date of Approval,Documents,document_link
88,Non-Archived,GEN3419,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section I - Impact damage due to insured’s own rail/road vehicles,Add on,IRDAN152RP0011V01201920/A0070V01201920,16-02-2020,IRDAN152RP0011V01201920A0070V01201920_GEN3419.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0070V01201920_GEN3419.pdf/055f2821-58b3-e2fb-e6dd-7b2eb2612a70?version=1.1&t=1668340093887&download=true
88,Non-Archived,GEN3422,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section II - Earthquake (fire and shock),Add on,IRDAN152RP0011V01201920/A0074V01201920,16-02-2020,IRDAN152RP0011V01201920A0074V01201920_GEN3422.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0074V01201920_GEN3422.pdf/73fc66b4-777b-94ae-5df1-f4a6d1e1fea6?version=1.1&t=1668340531245&download=true
88,Non-Archived,GEN3427,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section IV - Terrorism damage inclusion endorsement,Add on,IRDAN152RP0011V01201920/A0079V01201920,16-02-2020,IRDAN152RP0011V01201920A0079V01201920_GEN3427.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0079V01201920_GEN3427.pdf/05accb52-a240-4663-05d0-a6b3ed6a011b?version=1.1&t=1668401010013&download=true
89,Non-Archived,GEN3447,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (GCV) - Loan Protect,Add on,IRDAN152RP0008V02201516/A0100V01201920,31-03-2020,IRDAN152RP0008V02201516A0100V01201920_GEN3447.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0100V01201920_GEN3447.pdf/2d0b01b0-1626-c9e0-d697-68de6e250b7d?version=1.1&t=1668404462553&download=true
89,Non-Archived,GEN3434,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section VII - Damage to safe,Add on,IRDAN152RP0011V01201920/A0086V01201920,16-02-2020,IRDAN152RP0011V01201920A0086V01201920_GEN3434.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0086V01201920_GEN3434.pdf/f12691b7-01d4-5c21-adc9-d0fc76bfe398?version=1.1&t=1668401718005&download=true
89,Non-Archived,GEN3436,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section VII - Infidelity of cash carrying employees,Add on,IRDAN152RP0011V01201920/A0088V01201920,16-02-2020,IRDAN152RP0011V01201920A0088V01201920_GEN3436.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0088V01201920_GEN3436.pdf/20e1a768-96a3-9d90-559f-264512ffa546?version=1.1&t=1668402397498&download=true
89,Non-Archived,GEN3433,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section VII - Theft,Add on,IRDAN152RP0011V01201920/A0085V01201920,16-02-2020,IRDAN152RP0011V01201920A0085V01201920_GEN3433.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0085V01201920_GEN3433.pdf/f1149c16-d672-e1fc-21c2-bf9b936d6afb?version=1.1&t=1668401618051&download=true
89,Non-Archived,GEN3446,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (GCV) - Medical Expenses due to Accident,Add on,IRDAN152RP0008V02201516/A0099V01201920,31-03-2020,IRDAN152RP0008V02201516A0099V01201920_GEN3446.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0099V01201920_GEN3446.pdf/f6ba5f96-ab18-8157-e8b3-52903c23a680?version=1.1&t=1668404306943&download=true
89,Non-Archived,GEN3431,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section VII - Extension to cover off roll/ contractor’s employees,Add on,IRDAN152RP0011V01201920/A0083V01201920,16-02-2020,IRDAN152RP0011V01201920A0083V01201920_GEN3431.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0083V01201920_GEN3431.pdf/95f72149-1313-fe85-e96a-a62ef23ce9e8?version=1.1&t=1668401422885&download=true
89,Non-Archived,GEN3432,2019-2020,Kotak Mahindra General Insurance Company Limited,"Kotak Shop Secure - Section VII - Strike, riot and civil commotion",Add on,IRDAN152RP0011V01201920/A0084V01201920,16-02-2020,IRDAN152RP0011V01201920A0084V01201920_GEN3432.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0084V01201920_GEN3432.pdf/cac612d2-930c-6aff-b89e-becbcf798cb5?version=1.1&t=1668401513465&download=true
89,Non-Archived,GEN3435,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section VII - Use of duplicate key,Add on,IRDAN152RP0011V01201920/A0087V01201920,16-02-2020,IRDAN152RP0011V01201920A0087V01201920_GEN3435.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0087V01201920_GEN3435.pdf/6e922c60-2955-b913-1673-81f3007bc542?version=1.1&t=1668402024231&download=true
89,Non-Archived,GEN3430,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section VII - Assault risk,Add on,IRDAN152RP0011V01201920/A0082V01201920,16-02-2020,IRDAN152RP0011V01201920A0082V01201920_GEN3430.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0082V01201920_GEN3430.pdf/c981de23-81eb-1797-bb3d-96e527d59776?version=1.1&t=1668401333310&download=true
89,Non-Archived,GEN3429,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section VI - Mechanical or electrical breakdown,Add on,IRDAN152RP0011V01201920/A0081V01201920,16-02-2020,IRDAN152RP0011V01201920A0081V01201920_GEN3429.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0081V01201920_GEN3429.pdf/ef323bff-5c2a-58d5-e8d5-d4b8c0901781?version=1.1&t=1668401241481&download=true
89,Non-Archived,GEN3445,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure - Additional PA cover for Owner Driver,Add on,IRDAN152RP0006V02201516/A0092V01201920,16-02-2020,IRDAN152RP0006V02201516A0092V01201920_GEN3445.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201516A0092V01201920_GEN3445.pdf/d1799a12-7dcf-a94e-f3d7-48d46a5fb6f8?version=1.1&t=1668404091714&download=true
89,Non-Archived,GEN3442,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Terrorism damage inclusion endorsement,Add on,IRDAN152RP0011V01201920/A0104V01201920,16-02-2020,IRDAN152RP0011V01201920A0104V01201920_GEN3442.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0104V01201920_GEN3442.pdf/a712b20d-e009-7010-6040-6b722572cdcc?version=1.1&t=1668403777061&download=true
89,Non-Archived,GEN3438,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section VII - Loss of personal effects of employees,Add on,IRDAN152RP0011V01201920/A0090V01201920,16-02-2020,IRDAN152RP0011V01201920A0090V01201920_GEN3438.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0090V01201920_GEN3438.pdf/7095c275-8c94-d2d9-2dce-dd480349e85f?version=1.1&t=1668402648392&download=true
89,Non-Archived,GEN3444,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section II - Professional accountant fees,Add on,IRDAN152RP0011V01201920/A0071V01201920,16-02-2020,IRDAN152RP0011V01201920A0071V01201920_GEN3444.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0071V01201920_GEN3444.pdf/1f49288e-adee-23fe-caff-a2c7825bb0e9?version=1.1&t=1668403958540&download=true
89,Non-Archived,GEN3441,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section XI - Geographical scope - worldwide,Add on,IRDAN152RP0011V01201920/A0103V01201920,16-02-2020,IRDAN152RP0011V01201920A0103V01201920_GEN3441.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0103V01201920_GEN3441.pdf/d9a1e6d6-a317-c929-e9f5-8118d668cbf7?version=1.1&t=1668403627367&download=true
89,Non-Archived,GEN3443,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Terrorism damage cover endorsement,Add on,IRDAN152RP0011V01201920/A0105V01201920,16-02-2020,IRDAN152RP0011V01201920A0105V01201920_GEN3443.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0105V01201920_GEN3443.pdf/cbd55e3b-aada-737c-90bd-33f0a39ef5f8?version=1.1&t=1668403882914&download=true
89,Non-Archived,GEN3437,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section VII - Cash kept overnight at key person’s house,Add on,IRDAN152RP0011V01201920/A0089V01201920,16-02-2020,IRDAN152RP0011V01201920A0089V01201920_GEN3437.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0089V01201920_GEN3437.pdf/3c38ade0-ede7-b9f2-6d99-f6603b029a8e?version=1.1&t=1668402520548&download=true
