Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,Product Name,UIN,Type Of Product,Date Of Launch/Effecting Modification,Date Of Closing / Withdrawal,Protection/ Savings/ Retirement,Par/Non-par,Individual/Group,Remarks,Download,document_link
12,Non-Archived,2020-21,Canara HSBC Oriental Bank of Commerce Life Insurance Co. Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Group Credit Secure Plan,136N065V03,Non-ULIP,2020-11-1616-11-2020,----,Protection,Non-par,Group,,Group Credit Secure Plan_Policy Document_2020-21539 KB,https://irdai.gov.in/documents/37343/563751/Group+Credit+Secure+Plan_Policy+Document_2020-21.pdf/ad73edc5-d7ac-821d-a7bd-8c46cf1c245b?version=1.1&t=1667467049380&download=true
12,Non-Archived,2020-21,Canara HSBC Oriental Bank of Commerce Life Insurance Co. Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Invest 4G,136L064V03,ULIP,2020-10-1212-10-2020,----,Savings,Non-par,Individual,,Invest 4G Policy Document_2020-21600 KB,https://irdai.gov.in/documents/37343/563751/Invest+4G+Policy+Document_2020-21.pdf/a4e07d3e-c0ba-7d83-7ff2-b38514db834e?version=1.1&t=1667466943409&download=true
12,Non-Archived,2020-21,Bharti AXA Life Insurance Co. Ltd,Bharti AXA Life Accidental Total and Permanent Disability Rider,130B010V01,Non-ULIP,2021-02-1717-02-2021,----,Protection,Non-Par,Individual,,Bharti AXA Life ATPDR- Policy_2020-21681 KB,https://irdai.gov.in/documents/37343/563751/Bharti+AXA+Life+ATPDR-+Policy_2020-21.pdf/57315829-6608-cc81-e1c7-c20e9d9b71d4?version=1.1&t=1667461214169&download=true
12,Non-Archived,2020-21,Bharti AXA Life Insurance Co. Ltd,Bharti AXA Life Guaranteed Income Pro,130N101V01,Non-ULIP,2020-11-2525-11-2020,----,Savings,Non-Par,Individual,,Bharti AXA_GI Pro_PD_POS Variant_V2_2020-21680 KB,https://irdai.gov.in/documents/37343/563751/Bharti+AXA_GI+Pro_PD_POS+Variant_V2_2020-21.pdf/6f65d198-6145-bf19-af10-c6f4f43d14b9?version=1.1&t=1667461045462&download=true
13,Non-Archived,2020-21,Life Insurance Corporation of India,LIC's Jeevan Akshay-VII,512N337V01,Non-ULIP,2020-08-2525-08-2020,----,Retirement,Non-Par,Individual,,LIC's Jeevan Akshay VII_Policy Document_website_2020-21432 KB,https://irdai.gov.in/documents/37343/563751/LIC%27s+Jeevan+Akshay+VII_Policy+Document_website_2020-21.pdf/48f11588-3add-561d-694c-dee3dfbecc58?version=1.1&t=1668055921180&download=true
13,Non-Archived,2020-21,Canara HSBC Oriental Bank of Commerce Life Insurance Co. Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Saral Jeevan Bima,136N075V01,Non-ULIP,2021-02-2222-02-2021,----,Protection,Non-par,Individual,,Saral Jeevan Bima_Policy Document_2020-21648 KB,https://irdai.gov.in/documents/37343/563751/Saral+Jeevan+Bima_Policy+Document_2020-21.pdf/8ba29aa2-4738-dae0-5894-2074c83d1e8a?version=1.1&t=1667471556173&download=true
13,Non-Archived,2020-21,Life Insurance Corporation of India,LIC's Jeevan Arogya,512N266V03,Non-ULIP,2020-10-0101-10-2020,2021-07-1212-07-2021,Protection,Non-Par,Individual,,Sample Policy Document_LIC's Jeevan Arogya_UIN_512N266V03_2020-2110.2 MB,https://irdai.gov.in/documents/37343/563751/Sample+Policy+Document_LIC%27s+Jeevan+Arogya_UIN_512N266V03_2020-21.pdf/2e730d54-6dd4-76f6-0ad3-fd07ea1a9af4?version=1.1&t=1668055815046&download=true
13,Non-Archived,2020-21,Ageas Federal Life Insurance Co.Ltd,Ageas Federal Life Insurance Saral Jeevan Bima,135N079V01,Non ULIP,2021-03-0101-03-2021,----,Protection,Non Par,Individual,,PD_Saral Jeevan Bima Plan_2020-21444 KB,https://irdai.gov.in/documents/37343/563751/PD_Saral+Jeevan+Bima+Plan_2020-21.pdf/401e2d4a-5903-8452-7523-b4064d89545f?version=1.1&t=1667372416489&download=true
13,Non-Archived,2020-21,Aditya Birla Sun Life Insurance Co. Ltd.,ABSLI Assured Income Plus,109N127V03,Non-ULIP,2021-03-0101-03-2021,----,Savings,Non-par,Individual,,ABSLI Assured Income Plus_PD_V03_2020-21580 KB,https://irdai.gov.in/documents/37343/563751/ABSLI+Assured+Income+Plus_PD_V03_2020-21.pdf/856b2ede-8369-0d88-9383-bf394aeb7886?version=1.1&t=1667292252253&download=true
13,Non-Archived,2020-21,Aviva Life Insurance Co. India Ltd.,Aviva Life Shield Premium,122N136V01,Non-ULIP,----,----,Protection,Non-Par,Individual,,Aviva_Life_Shield_Premium_Policy_Document_2020-21673 KB,https://irdai.gov.in/documents/37343/563751/Aviva_Life_Shield_Premium_Policy_Document_2020-21.pdf/6e0caf87-3a73-6715-ba93-41c258490bd4?version=1.1&t=1667377990759&download=true
13,Non-Archived,2020-21,Ageas Federal Life Insurance Co.Ltd,IDBI Federal Life Insurance Young Star Plus Plan,135N076V01,Non ULIP,2020-11-1414-11-2020,----,Savings,Par,Individual,Live Products,Policy Document_Young Star Plus_v1_4_14112020_Web_2020-21909 KB,https://irdai.gov.in/documents/37343/563751/Policy+Document_Young+Star+Plus_v1_4_14112020_Web_2020-21.pdf/66c4839d-da9b-cb40-9aa2-5405d389d9d4?version=1.1&t=1667372706667&download=true
13,Non-Archived,2020-21,Ageas Federal Life Insurance Co.Ltd,IDBI Federal Life Insurance MyLife Protection Plan,135N075V01,Non ULIP,2020-07-2222-07-2020,----,Protection,Non Par,Individual,Live Products,PD_My Life Protection Plan_Final Version_22072020_Web_PDF_2020-21669 KB,https://irdai.gov.in/documents/37343/563751/PD_My+Life+Protection+Plan_Final+Version_22072020_Web_PDF_2020-21.pdf/3ea47f4f-959b-3ffc-b376-3cbf0aba8798?version=1.1&t=1667372534292&download=true
13,Non-Archived,2020-21,HDFC Life Insurance Company Limited,HDFC Life New Immediate Annuity Plan,101N084V17,Non-ULIP,2020-04-0202-04-2020,2020-05-0707-05-2020,Retirement,Non Par,Both,Annuity,HDFC Life New Immediate Annuity Plan-PD-Ind_2020-21742 KB,https://irdai.gov.in/documents/37343/563751/HDFC+Life+New+Immediate+Annuity+Plan-PD-Ind_2020-21.pdf/d6fe37c0-0a30-ec65-98da-783ec16845b0?version=1.1&t=1667913766741&download=true
